experiment_name,instance_name,algorithm_name,eta0,seed,T,gamma,u_star,final_utility,mean_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,l1_error_to_w_star,final_w_0,final_w_1,final_w_2,final_w_3,w_star_0,w_star_1,w_star_2,w_star_3
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,2.0,900,500,0.02,0.10148558758314846,0.059689601999371955,0.05332826258398087,0.04179598558377651,0.04815732499916758,0.04811315214931877,0.0481573249991676,0.7801188732250759,0.10862833947511785,0.46131222391234394,0.19765020581638013,0.23240923079615816,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,2.0,1000,500,0.02,0.10148558758314846,0.09179696955457689,0.08241065715918444,0.009688618028571572,0.019074930423964024,0.018027405357177395,0.019074930423964,0.20329603936485063,0.39402984910992483,0.4643221312076495,0.03738185519284917,0.10426616448957643,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,3.0,100,500,0.02,0.10148558758314846,0.09333353844825243,0.08779499786526404,0.008152049134896033,0.013690589717884434,0.0136392909243655,0.013690589717884439,0.23782233329620933,0.4062394265685557,0.4348494067833393,0.1026417076426467,0.05626945900545829,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,3.0,200,500,0.02,0.10148558758314846,0.09434066777924327,0.088185172334675,0.007144919803905192,0.01330041524847346,0.013263428015666462,0.013300415248473463,0.19522449847702922,0.45073976977743163,0.41164798098405353,0.0792754228162926,0.058336826422222446,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,3.0,300,500,0.02,0.10148558758314846,0.09287086549751744,0.0848363020412003,0.008614722085631021,0.01664928554194816,0.01660372496553464,0.016649285541948174,0.24419331668174604,0.4168266644444715,0.4210766772146551,0.0976053096462661,0.06449134869460717,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,3.0,400,500,0.02,0.10148558758314846,0.09406756138691308,0.0890043174209829,0.007418026196235383,0.012481270162165558,0.01227365830424948,0.012481270162165544,0.21782722534953097,0.40207551743321873,0.44901086989201544,0.09978037413069756,0.04913323854406828,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,3.0,500,500,0.02,0.10148558758314846,0.09280325819354546,0.08608814319261718,0.008682329389603005,0.015397444390531277,0.015320817560132483,0.015397444390531277,0.2616996573380003,0.39530673661817245,0.43384343471282716,0.11870106654965853,0.05214876211934205,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,3.0,600,500,0.02,0.10148558758314846,0.09281981632016312,0.0861639842022779,0.008665771262985345,0.01532160338087056,0.015198702636395417,0.01532160338087055,0.255348612603066,0.407636588178133,0.4246891055203336,0.10950906359672061,0.058165242704812686,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,3.0,700,500,0.02,0.10148558758314846,0.09420036451982827,0.08836570751814449,0.00728522306332019,0.013119880065003971,0.013009502677843648,0.013119880065003961,0.21021506971205212,0.42277501314204796,0.4321174520019256,0.08993341861064982,0.055174116245376506,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,3.0,800,500,0.02,0.10148558758314846,0.0945295417651934,0.08726595325653054,0.006956045817955059,0.014219634326617926,0.014131237272041797,0.014219634326617927,0.2057313143710298,0.42822296088849343,0.42891138192599126,0.09222614907550386,0.050639508110011305,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
